nom,SIREN,type,code_region,code_departement
CC du Pays Orne Moselle,245701271,MET,44,57
CC du Pays Rethélois,200043156,MET,44,8
CC du Pays Réuni d'Orange,248400236,MET,93,84
CC du Pays Rhénan,200041325,MET,44,67
CC du Pays Rignacois,241200625,MET,76,12
CC du Pays Riolais,247000706,MET,27,70
CC du Pays Rochois,247400724,MET,84,74
CC du Pays Solesmois,245901038,MET,32,59
CC du Pays Tarusate,244000766,MET,75,40
CC du Pays Viganais,243000270,MET,76,30
CC du Perche,200006971,MET,24,28
CC du Perche et Haut Vendômois,200040772,MET,24,41
CC du Périgord Nontronnais,200071819,MET,75,24
CC du Périgord Ribéracois,200040400,MET,75,24
CC du Piémont Cévenol,200034411,MET,76,30
CC du Pilat Rhodanien,244200895,MET,84,42
CC du Pithiverais,200066280,MET,24,45
CC du Pithiverais-Gâtinais,200071850,MET,24,45
CC du Plateau de Frasne et du Val de Drugeon (CFD),242504496,MET,27,25
CC du Plateau de Lannemezan,200070787,MET,76,65
CC du Plateau de Montbazens,241200674,MET,76,12
CC du Plateau de Russey,242504355,MET,27,25
CC du Plateau Picard,246000566,MET,32,60
CC du Pont du Gard,243000684,MET,76,30
CC du Provinois,200037133,MET,11,77
CC du Quercy Blanc,200039519,MET,76,46
CC du Quercy Caussadais,248200057,MET,76,82
CC du Quercy Rouergue et des Gorges de l'Aveyron,248200107,MET,76,
CC du Réolais en Sud Gironde,200044394,MET,75,33
CC du Réquistanais,241200542,MET,76,12
CC du Rhône aux Gorges de l'Ardèche,240700864,MET,84,7
CC du Ried de Marckolsheim,200030526,MET,44,
CC du Romorantinais et du Monestois,200018406,MET,24,41
CC du Rouillacais,241600303,MET,75,16
CC du Royans-Vercors,200067767,MET,84,26
CC du Sammiellois,245500327,MET,44,55
CC du Sartenais Valinco Taravo,242010130,MET,94,
CC du Saulnois,245701206,MET,44,57
CC du Saves,243200599,MET,76,32
CC du Secteur de Saint-Loubès,243301249,MET,75,33
CC du Seignanx,244000659,MET,75,40
CC du Serein,200039709,MET,27,89
CC du Sisteronais-Buëch,200068765,MET,,
CC du Sor et de l'Agout,248100158,MET,76,81
CC du Sud,200060473,MET,6,976
CC du Sud-Artois,200035442,MET,32,62
CC du Sud-Estuaire,244400586,MET,52,44
CC du Sud Avesnois,200043404,MET,32,59
CC du Sud Corse,200040764,MET,94,
CC du Sud Est du Pays Manceau,247200421,MET,52,72
CC du Sud Gironde,200043974,MET,75,33
CC du Sud Marnais,245100979,MET,44,51
CC du Sud Messin,200039907,MET,44,57
CC du Sud Territoire,249000241,MET,27,90
CC du Ternois,200069672,MET,32,
CC du Terrassonnais en Périgord Noir Thenon Hautefort,200041150,MET,75,24
CC du Territoire de Fresnes-en-Woëvre,245501176,MET,44,55
CC du Territoire de Lunéville à Baccarat,200070324,MET,44,54
CC du Territoire Nord Picardie,200070951,MET,32,80
CC du Thouarsais,247900798,MET,75,79
CC du Triangle Vert,200041861,MET,27,70
CC du Trièves,200030658,MET,84,38
CC du Val d'Amboise,200043065,MET,24,37
CC du Val d'Amour,243900420,MET,27,39
CC du Val d'Argent,246800395,MET,44,68
CC du Val d'Ay,240700716,MET,84,7
CC du Val d'Essonne (CCVE),249100546,MET,11,91
CC du Val d'Ille-Aubigné,243500667,MET,53,35
CC du Val d'Orne,246100390,MET,28,61
CC du Val de Bouzanne,200018521,MET,24,36
CC du Val de Cher,240300566,MET,84,3
CC du Val de Drôme en Biovallée,242600252,MET,84,26
CC du Val de l'Aisne,240200501,MET,32,2
CC du Val de l'Eyre,243301405,MET,75,33
CC du Val de l'Oise,200040426,MET,32,2
CC du Val de Morteau,242504116,MET,27,25
CC du Val de Sarthe,247200629,MET,52,72
CC du Val de Somme,248000499,MET,32,80
CC du Val de Sully,200070100,MET,24,45
CC du Val de Vienne,248719288,MET,75,87
CC du Val Marnaysien,200041887,MET,27,
CC du Vallespir,246600373,MET,76,66
CC du Vexin-Thelle,246000707,MET,32,60
CC du Vexin-Val de Seine,249500513,MET,11,95
CC du Vexin Normand,200071843,MET,28,27
CC du Vimeu,200070944,MET,32,80
CC du Volvestre,200066819,MET,76,31
CC du Warndt,245701164,MET,44,57
CC Écueillé-Valençay,200040558,MET,24,36
CC Éguzon - Argenton - Vallée de la Creuse,200068872,MET,24,36
CC Élan Limousin Avenir Nature,200066512,MET,75,87
CC Enclave des Papes-Pays de Grignan,200040681,MET,,
CC Entr'Allier Besbre et Loire,200071470,MET,84,3
"CC Entre Arroux,Loire et Somme",200070316,MET,27,71
CC Entre Beauce et Perche,200058360,MET,24,28
CC Entre Dore et Allier,246301097,MET,84,63
CC Entre Juine et Renarde (CCEJR),249100553,MET,11,91
CC Entre Saône et Grosne,247103765,MET,27,71
CC Estuaire et Sillon,200072734,MET,52,44
CC Falaises du Talou,247600729,MET,28,76
CC Faucigny-Glières,200000172,MET,84,74
CC Fercher Pays Florentais,241800457,MET,24,18
CC Fier et Usses,247400567,MET,84,74
CC Flandre Lys,245900758,MET,32,
"CC Forêts,Lacs,Terres en Champagne",241000223,MET,44,10
"CC Forêts,Seine et Suzon",200039063,MET,27,21
CC Fumel Vallée du Lot,200068930,MET,75,47
CC Gally Mauldre,200034130,MET,11,78
CC Gartempe - Saint-Pardoux,248719262,MET,75,87
CC Gâtinais Val de Loing,200023919,MET,11,77
CC Giennoises,244500211,MET,24,45
CC Gorges Causses Cévennes,200069151,MET,76,48
CC Grand-Figeac,200067361,MET,76,
CC Grand Orb,200042646,MET,76,34
CC Grand Sud Tarn et Garonne,200066652,MET,76,82
CC Haut-Jura Saint-Claude,200026573,MET,27,39
CC Haut-Léon Communauté,200067072,MET,53,29
CC Haut Chemin-Pays de Pange,200067957,MET,44,57
CC Haut Limousin en Marche,200071942,MET,75,87
CC Haut Nivernais-Val d'Yonne,200067429,MET,27,
CC Haut Val de Sèvre,200041994,MET,75,79
CC Haute-Corrèze Communauté,200066744,MET,75,
CC Haute-Maurienne Vanoise,200070340,MET,84,73
CC Haute-Provence-Pays de Banon,200071025,MET,93,4
CC Haute Sarthe Alpes Mancelles,200072700,MET,52,72
CC Hautes Terres Communauté,200066637,MET,84,15
CC Houve-Pays Boulageois,200067650,MET,44,57
CC Inter-Caux-Vexin,200070449,MET,28,76
CC Interco Normandie Sud Eure,200066462,MET,,
CC Intercom Bernay Terres de Normandie,200066413,MET,28,27
CC Intercom de la Vire au Noireau,200068799,MET,28,14
CC Interrégionale Aumale - Blangy-sur-Bresle,200069722,MET,,
CC Isigny-Omaha Intercom,200066801,MET,28,14
CC Isle-Loue-Auvézère en Périgord,242401024,MET,75,24
CC Isle Double Landais,200040384,MET,75,24
CC Isle et Crempse-en-Périgord,200069094,MET,75,24
CC Isle Vern Salembre en Périgord,200040095,MET,75,24
CC Jabron-Lure-Vançon-Durance,200071033,MET,,
CC Jalle-Eau-Bourde,243301165,MET,75,33
CC Jura Nord,243900560,MET,27,39
"CC Jura Sud,Pays des Lacs,Petite Montagne et Région d'Orgelet",200090579,MET,27,39
"CC Jura Sud,Pays des Lacs,Petite Montagne et Région d'Orgelet",200090579,MET,27,39
"CC Jura Sud,Pays des Lacs,Petite Montagne et Région d'Orgelet",200090579,MET,27,39
"CC Jura Sud,Pays des Lacs,Petite Montagne et Région d'Orgelet",200090579,MET,27,39
CC l'Orée de la Brie,247700644,MET,11,
CC La Clayette Chauffailles en Brionnais,200070548,MET,27,71
CC La Domitienne,243400488,MET,76,34
CC La Grandvallière,243900610,MET,27,39
CC La Rochefoucauld - Porte du Périgord,200068914,MET,75,16
CC La Septaine,241800374,MET,24,18
CC Lacs et Gorges du Verdon,200040210,MET,93,83
CC Larzac et Vallées,241200906,MET,76,12
CC Latitude Nord Gironde,243301181,MET,75,33
CC Lauragais Revel Sorezois,243100567,MET,76,
CC Lavalette Tude Dronne,200070282,MET,75,16
CC Le Dourdannais en Hurepoix (CCDH),249100595,MET,11,91
CC Le Dunois,241800424,MET,24,18
CC Le Gesnois Bilurien,200072684,MET,52,72
CC Le Grand Charolais,200071884,MET,,
CC Le Grésivaudan,200018166,MET,84,38
CC Le Tonnerrois en Bourgogne,200039642,MET,27,89
CC Leff Armor Communauté,200069086,MET,53,22
CC Les Avant-Monts,200071058,MET,76,34
CC Les Balcons du Dauphiné,200068542,MET,84,38
CC Les Bertranges,200068088,MET,,
CC Les Portes Briardes entre Villes et Forêts,200023125,MET,11,77
CC Les Portes de l'Ile de France,200071074,MET,11,78
CC Les Trois Provinces,241800432,MET,24,18
CC Les Vals du Dauphiné,200068567,MET,84,38
CC Les Versants d'Aime,247300817,MET,84,73
CC Lieuvin Pays d'Auge,200066017,MET,28,27
CC Liffré-Cormier Communauté,243500774,MET,53,35
CC Loches Sud Touraine,200071587,MET,24,37
CC Lodévois et Larzac,200017341,MET,76,34
CC Loir-Lucé-Bercé,200070373,MET,52,72
CC Loire et Allier,245801063,MET,27,58
CC Loire et Semène,244301131,MET,84,43
CC Loire Layon Aubance,200071553,MET,52,49
CC Lot et Tolzac,244701405,MET,75,47
CC Loudéac Communauté - Bretagne Centre,200067460,MET,53,22
CC Loue-Lison,200068070,MET,27,25
CC Loué - Brûlon - Noyen,200040475,MET,52,72
CC Lyon Saint Exupéry en Dauphiné,243800935,MET,84,38
CC Lyons Andelle,200070142,MET,28,27
CC Mâconnais - Tournugeois,200069698,MET,27,71
CC Mad et Moselle,200070738,MET,44,
CC Maine Cœur de Sarthe,200068963,MET,52,72
CC Maine Saosnois,200072676,MET,,
CC Marche et Combraille en Aquitaine,200067593,MET,75,23
CC Marche Occitane - Val d'Anglin,200035137,MET,24,36
CC Marches du Velay-Rochebaron,200073427,MET,84,43
CC Maremne Adour Côte Sud,244000865,MET,75,40
CC Maurienne Galibier,247300452,MET,84,73
CC Mayenne Communauté,200055887,MET,52,53
CC Méditerranée Porte des Maures,200027100,MET,93,83
CC Médoc Atlantique,200070720,MET,75,33
CC Médoc Cœur de Presqu'île,200069995,MET,75,33
CC Médoc Estuaire,243301447,MET,75,33
CC Médullienne,243301389,MET,75,33
CC Mellois-en-Poitou,200069755,MET,75,79
"CC Meurthe,Mortagne,Moselle",200067643,MET,44,54
CC Meuse Rognon,200069664,MET,44,52
CC Mézenc-Loire-Meygal,200073401,MET,84,43
CC Midi Corrézien,200066769,MET,75,19
CC Mirebellois et Fontenois,200072825,MET,27,21
CC Mond'Arverne Communauté,200069177,MET,84,63
CC Mont Lozère,200069128,MET,76,
CC Montfort Communauté,243500550,MET,53,35
CC Monts d'Arrée Communauté,200067197,MET,53,29
"CC Monts,Rance et Rougier",200067163,MET,76,12
CC Moret Seine et Loing,247700032,MET,11,77
CC Morvan Sommets et Grands Lacs,200067890,MET,27,58
CC Moselle et Madon,245400171,MET,44,54
CC Nebbiu - Conca d'Oro,200073120,MET,94,
CC Neste Barousse,200070829,MET,76,65
CC Nièvre et Somme,200071223,MET,32,80
CC Norge et Tille,200069540,MET,27,21
CC Normandie-Cabourg-Pays d'Auge,200065563,MET,28,14
CC Océan Marais de Monts,248500258,MET,52,85
CC Orée de Bercé - Belinois,247200447,MET,52,72
CC Orne Lorraine Confluences,200070845,MET,44,54
CC Osartis Marquion,200044048,MET,32,62
CC Ouche et Montagne,200039055,MET,27,21
CC Ouest Aveyron Communauté,200069383,MET,76,
CC Ouest Limousin,200066520,MET,75,87
CC Pasquale Paoli,200073138,MET,94,
CC Pays d'Apt-Luberon,200040624,MET,93,
CC Pays d'Évian Vallée d'Abondance,200071967,MET,84,74
CC Pays d'Opale,200072478,MET,32,62
CC Pays d'Orthe et Arrigans,200069417,MET,75,40
CC Pays d'Uzès,200034379,MET,76,30
CC Pays de Chantonnay,248500340,MET,52,85
CC Pays de Châteaugiron Communauté,243500659,MET,53,35
CC Pays de Fontenay-Vendée,200071934,MET,52,85
CC Pays de Montereau,247700107,MET,11,77
CC Pays de Nay,246401756,MET,,
CC Pays de Nemours,200023240,MET,11,77
CC Pays de Nérondes,200007177,MET,24,18
CC Pays de Nexon Monts de Chalus,200070506,MET,75,87
CC Pays des Vans en Cévennes,200039832,MET,84,7
CC Pays du Mont-Blanc,200034882,MET,84,74
CC Pays Forcalquier et Montagne de Lure,240400440,MET,93,4
CC Pays Fort Sancerrois Val de Loire,200069227,MET,24,18
CC Pays Rhin - Brisach,200066025,MET,44,68
CC Pays Ségali Communauté,200068831,MET,76,12
CC Périgord-Limousin,242400752,MET,75,24
CC Perthois-Bocage et Der,200042992,MET,44,51
CC Pévèle-Carembault,200041960,MET,32,59
CC Picardie des Châteaux,200071769,MET,32,2
CC Piège Lauragais Malepère,200035707,MET,76,11
CC Plaine Limagne,200071199,MET,84,63
CC Plaines et Monts de France,200033090,MET,11,77
CC Plateau de Caux-Doudeville-Yerville,200069847,MET,28,76
CC Pleyben-Châteaulin-Porzay,200067247,MET,53,29
CC Ploërmel Communauté,200066777,MET,53,56
CC Poher communauté,242900744,MET,53,
CC Ponthieu-Marquenterre,200070936,MET,32,80
CC Pontivy Communauté,245614433,MET,53,
CC Porte d'Aquitaine en Pays de Serres,200036572,MET,75,47
CC Porte de Drômardèche,200040491,MET,84,
CC Porte de Maurienne,247300676,MET,84,73
CC Porte du Jura,200072056,MET,27,39
CC Porte Océane du Limousin,200059400,MET,75,87
CC Portes de la Creuse en Marche,200041556,MET,75,23
CC Portes du Berry entre Loire et Val d'Aubois,200011781,MET,24,18
CC Pré-Bocage Intercom,200069524,MET,28,14
CC Presqu'île de Crozon-Aulne maritime,200066868,MET,53,29
CC Provence Verdon,200040202,MET,93,83
CC Pyrénées Audoises,200043776,MET,76,11
CC Pyrénées catalanes,246600464,MET,76,66
CC Pyrénées Cerdagne,246600399,MET,76,66
CC Pyrénées Haut Garonnaises,200072635,MET,76,31
CC Pyrénées Vallées des Gaves,200070811,MET,76,65
CC Quercy - Bouriane,244600482,MET,76,46
CC Quercy Vert-Aveyron,200066884,MET,76,82
CC Questembert Communauté,245614383,MET,53,56
CC Rahin et Chérimont,247000821,MET,27,70
CC Randon - Margeride,200069102,MET,76,48
"CC Région Lézignanaise,Corbières et Minervois",200035863,MET,76,11
CC Retz-en-Valois,200071991,MET,32,2
CC Rhône Crussol,200041366,MET,84,7
CC Rhône Lez Provence,200000628,MET,93,84
"CC Rhony,Vistre,Vidourle",243000569,MET,76,30
CC Rives de l'Ain - Pays du Cerdon,200029999,MET,84,1
CC Rives de Moselle,200039949,MET,44,57
CC Rives de Saône,242101509,MET,27,21
CC Roche aux Fées Communauté,243500634,MET,53,35
CC Roi Morvan Communauté,245614417,MET,53,56
CC Roumois Seine,200066405,MET,28,
CC Roussillon-Conflent,246600415,MET,76,66
CC Rumilly Terre de Savoie,247400740,MET,84,74
CC Rurales de l'Entre-deux-Mers,200069599,MET,75,33
CC Saint-Flour Communauté,200066660,MET,84,15
CC Saint-Marcellin Vercors Isère Communauté,200070431,MET,84,38
CC Saint-Pourçain Sioule Limagne,200071389,MET,84,3
"CC Saint Affricain,Roquefort,Sept Vallons",200067155,MET,76,12
CC Saint Cyr Mère Boitier entre Charolais et Mâconnais,200071645,MET,27,71
CC Saône-Beaujolais,200067817,MET,84,69
CC Saône Doubs Bresse,200040038,MET,27,71
CC Sarlat-Périgord Noir,200027217,MET,75,24
CC Sarrebourg Moselle Sud,200068146,MET,44,57
CC Sauer-Pechelbronn,200013050,MET,44,67
CC Sauldre et Sologne,200000933,MET,24,18
CC Sausseron Impressionnistes,249500430,MET,11,95
CC Seine et Aube,200070126,MET,44,10
CC Senlis Sud Oise,200066975,MET,32,60
CC Serein et Armance,200067304,MET,27,89
CC Serre-Ponçon,200067742,MET,93,
CC Serre-Ponçon Val d'Avance,200067320,MET,93,
CC Seulles Terre et Mer,200069516,MET,28,14
CC Sèvre et Loire,200067866,MET,52,44
CC Sidobre Vals et Plateaux,200066561,MET,76,81
CC Somme Sud-Ouest,200071181,MET,32,80
CC Spelunca-Liamone,200067049,MET,94,
CC Sud-Hérault,200042653,MET,76,34
CC Sud-Roussillon,246600282,MET,76,66
CC Sud Alsace Largue,200066033,MET,44,68
CC Sud Côte Chalonnaise,247104094,MET,27,71
CC Sud Nivernais,200067700,MET,27,58
CC Sud Retz Atlantique,200071546,MET,52,44
CC Sud Sarthe,200073112,MET,52,72
CC Sud Vendée Littoral,200073260,MET,52,85
CC Sumène - Artense,241501055,MET,84,15
CC Sundgau,200066041,MET,44,68
CC Tannay-Brinon-Corbigny,200067692,MET,27,58
CC Tarn-Agout,200034023,MET,76,
CC Terre d'Auge,241400878,MET,28,14
CC Terre d'Eau,200068682,MET,44,88
CC Terre de Camargue,243000650,MET,76,30
CC Terre de Picardie,200070928,MET,32,80
CC Terre Lorraine du Longuyonnais,200043693,MET,44,54
"CC Terres-de-Montaigu,communauté de communes Montaigu-Rocheservière",200070233,MET,52,85
CC Terres de Bresse,200071538,MET,27,71
CC Terres de Chalosse,200069631,MET,75,40
CC Terres de Perche,200070167,MET,24,28
CC Terres de Saône,200041879,MET,27,70
CC Terres des Confluences,200066322,MET,76,82
CC Terres du Haut Berry,200066330,MET,24,18
CC Terres Touloises,200070563,MET,44,54
CC Territoriale Sud-Luberon,248400285,MET,93,84
CC Terroir de Caux,200068534,MET,28,76
CC Thelloise,200067973,MET,32,60
CC Thiérache Sambre et Oise,200071983,MET,32,2
CC Thiers Dore et Montagne,200070712,MET,84,63
CC Thoré Montagne Noire,248100745,MET,76,81
CC Tille et Venelle,200070910,MET,27,21
CC Touraine-Est Vallées,200073161,MET,24,37
CC Touraine Ouest Val de Loire,200072981,MET,24,37
CC Touraine Val de Vienne,200072668,MET,24,37
CC Touraine Vallée de l'Indre,200072650,MET,24,37
CC Usses et Rhône,200070852,MET,84,
CC Vaison Ventoux,248400335,MET,,
CC Val-de-Cher-Controis,200072064,MET,24,41
CC Val 81,248100497,MET,76,81
CC Val Briard,200072874,MET,11,77
CC Val de Charente,200043016,MET,75,16
CC Val de Gâtine,200069748,MET,75,79
CC Val de Gers,200072320,MET,76,32
CC Val de Gray,200036549,MET,27,70
CC Val de l'Indre - Brenne,243600301,MET,24,36
CC Val de Ligne,240700617,MET,84,7
CC Val de Meuse - Voie Sacrée,200066165,MET,44,55
CC Val de Saône Centre,200070118,MET,84,1
CC Val ès Dunes,200065589,MET,28,14
CC Val Eyrieux,200041465,MET,84,7
CC Val Guiers,247300528,MET,84,73
CC Val Vanoise,200040798,MET,84,73
CC Vallée de l'Hérault,243400694,MET,76,34
CC Vallée de l'Ubaye - Serre-Ponçon,200072304,MET,93,4
CC Vallée de la Dordogne et Forêt Bessède,200041051,MET,75,24
CC Vallée des Baux-Alpilles (CC VBA),241300375,MET,93,13
CC Vallées de l'Orne et de l'Odon,200066728,MET,28,14
CC Vallées et Plateau d'Ardenne,200067759,MET,44,8
CC Vallons de Haute-Bretagne Communauté,200043990,MET,53,35
CC Vendée Grand Littoral,200071900,MET,52,85
"CC Vendée,Sèvre,Autise",248500563,MET,52,85
CC Ventoux Sud,200035723,MET,,
CC Vexin Centre,200035970,MET,11,95
CC Vézère-Monédières-Millesources,200066645,MET,75,19
CC Vienne et Gartempe,200070043,MET,75,86
CC Vierzon-Sologne-Berry et Villages de la Forêt,200090561,MET,24,18
CC Vierzon-Sologne-Berry et Villages de la Forêt,200090561,MET,24,18
CC Xaintrie Val'Dordogne,200066751,MET,75,19
CC Yonne Nord,248900896,MET,27,89
CC Yvetot Normandie,247600620,MET,28,76
Clermont Auvergne Métropole,246300701,MET,84,63
CU Angers Loire Métropole,244900015,MET,52,49
CU Caen la Mer,200065597,MET,28,14
CU d'Alençon,246100663,MET,,
CU d'Arras,200033579,MET,32,62
CU de Dunkerque,245900428,MET,32,59
CU du Grand Besançon Métropole,242500361,MET,27,25
CU du Grand Poitiers,200069854,MET,75,86
CU du Grand Reims,200067213,MET,44,51
CU du Havre Seine Métropole,200084952,MET,28,76
CU Grand Paris Seine et Oise,200059889,MET,11,78
CU Le Creusot Montceau-les-Mines,247100290,MET,27,71
CU Le Mans Métropole,247200132,MET,52,72
CU Limoges Métropole,248719312,MET,75,87
CU Perpignan Méditerranée Métropole,200027183,MET,76,66
Dijon Métropole,242100410,MET,27,21
Est Ensemble,200057875,MET,11,93
Eurométropole de Strasbourg,246700488,MET,44,67
Grand-Orly Seine Bièvre,200058014,MET,11,94
Grand Paris - Grand Est,200058790,MET,11,93
Grand Paris Seine Ouest,200057974,MET,11,92
Grand Paris Sud Est Avenir,200058006,MET,11,94
Grenoble-Alpes-Métropole,200040715,MET,84,38
Métropole d'Aix-Marseille-Provence,200054807,MET,93,
Métropole de Lyon,200046977,MET,84,69
Métropole du Grand Nancy,245400676,MET,44,54
Métropole du Grand Paris,200054781,MET,11,
Métropole Européenne de Lille,200093201,MET,32,59
Métropole Européenne de Lille,200093201,MET,32,59
Métropole Nice Côte d'Azur,200030195,MET,93,6
Métropole Rouen Normandie,200023414,MET,28,76
Métropole Toulon-Provence-Méditerranée,248300543,MET,93,83
Metz Métropole,200039865,MET,44,57
Montpellier Méditerranée Métropole,243400017,MET,76,34
Nantes Métropole,244400404,MET,52,44
Orléans Métropole,244500468,MET,24,45
Paris-Est-Marne et Bois,200057941,MET,11,94
Paris Ouest La Défense,200057982,MET,11,92
Paris Terres d'Envol,200058097,MET,11,93
Plaine Commune,200057867,MET,11,93
Rennes Métropole,243500139,MET,53,35
Saint-Etienne Métropole,244200770,MET,84,42
Toulouse Métropole,243100518,MET,76,31
Tours Métropole Val de Loire,243700754,MET,24,37
Vallée Sud Grand Paris,200057966,MET,11,92
,,MET,,
,,MET,,
,,MET,,
,,MET,,
