siren,nom,chef de l'exécutif,parti politique,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode
220100010,Ain,Jean Deguerry,Les Républicains,DEP,ARA-84,http://departement-ain.opendata.arcgis.com/datasets?source=D%C3%A9partement%20de%20l%27Ain,39.0,https://www.data.gouv.fr/fr/organizations/5851009688ee3870fbc65bb3,12.0,5851009688ee3870fbc65bb3,,653688.0,,,ptf+datagouv,01
220400014,Alpes-de-Haute-Provence,,,DEP,PAC-93,https://trouver.datasud.fr/organization/conseil-departemental-des-alpes-de-haute-provence,34.0,,,,,161980.0,,,ptf,04
220600019,Alpes-Maritimes,Charles-Ange Ginésy,Union pour un mouvement populaire,DEP,PAC-93,https://data.departement06.fr,24.0,https://www.data.gouv.fr/fr/organizations/5e00c7456f444104766e92d6/,24.0,5e00c7456f444104766e92d6,,1083704.0,,,ptf+datagouv,06
220700017,Ardèche,Laurent Ughetto,,DEP,ARA-84,https://opendata.ardeche.fr/search/type/dataset,17.0,,,,,327011.0,,,ptf,07
2.20900013E8,Ariège,Christine Téqui,,DEP,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5a90060ec751df1402f350d8/,1.0,5a90060ec751df1402f350d8,,152340.0,,,datagouv,9.0
221000052,Aube,Philippe Pichery,,DEP,GES-44,,,https://www.data.gouv.fr/fr/organizations/5a216283c751df6333108428/,1.0,5a216283c751df6333108428,,309117.0,,,datagouv,10
221100019,Aude,Hélène Sandragne,,DEP,OCC-76,https://opendata.aude.fr/explore/?sort=modified&refine.publisher=D%C3%A9partement+de+l%27Aude,23.0,,,,Département de l'Aude,370260.0,,,ptf,11
226700011,Bas-Rhin,Frédéric Bierry,Union pour un mouvement populaire,DEP,GES-44,,,https://www.data.gouv.fr/fr/organizations/5abcf3c688ee386e18f7f79c/,100.0,5abcf3c688ee386e18f7f79c,,1120000.0,,,datagouv,67
221401185,Calvados,Jean-Léonce Dupont,Union pour la démocratie française,DEP,NOR-28,,,https://www.data.gouv.fr/fr/organizations/departement-du-calvados/,23.0,5bd96f848b4c415ecb7a9a8b,,694002.0,,,datagouv,14
221500010,Cantal,Vincent Descœur,Union pour un mouvement populaire,DEP,ARA-84,,,https://www.data.gouv.fr/fr/organizations/534fff69a3a7292c64a77d94,5.0,534fff69a3a7292c64a77d94,,143627.0,,,datagouv,15
221600018,Charente,Michel Boutant,Parti socialiste,DEP,NAQ-75,https://data16.lacharente.fr/donnees/recherche/,57.0,,,,,350240.0,,,ptf,16
221700016,Charente-Maritime,Dominique Bussereau,Union pour un mouvement populaire,DEP,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/59b6449a88ee38073588ac9d,1.0,59b6449a88ee38073588ac9d,,646016.0,,,datagouv,17
,,,Union pour la démocratie française,,,,,,,,,,,,,
,,,Démocratie libérale,,,,,,,,,,,,,
,,,Parti républicain,,,,,,,,,,,,,
,,,Libres,,,,,,,,,,,,,
222100018,Côte-d'Or,François Sauvadet,Union pour la démocratie française,DEP,BFC-27,https://trouver.ternum-bfc.fr/organization/conseil-departemental-de-cote-dor,3.0,,,,,533819.0,,,ptf,21
,,,Démocratie libérale,,,,,,,,,,,,,
,,,Parti républicain,,,,,,,,,,,,,
2.22200016E8,Côtes-d'Armor,Romain Boutron,,DEP,BRE-53,http://datarmor.cotesdarmor.fr/web/guest/donnees,133.0,https://www.data.gouv.fr/fr/organizations/54aff788c751df39e138127d,128.0,54aff788c751df39e138127d,,596518.0,,,ptf+datagouv,22.0
2.27900016E8,Deux-Sèvres,Éric Gautier,Parti socialiste,DEP,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/59ba4600c751df6bbdb72c11,1.0,59ba4600c751df6bbdb72c11,,374873.0,,,datagouv,79.0
2.22500019E8,Doubs,Christine Bouquin,Union pour un mouvement populaire,DEP,BFC-27,https://opendata.doubs.fr/explore/?refine.publisher=CD25,28.0,,,,CD25,539465.0,,,ptf,25.0
,,,divers droite,,,,,,,,,,,,,
2.22702292E8,Eure,Sébastien Lecornu,Union pour un mouvement populaire,DEP,NOR-28,https://opendata.eure.fr/search,32.0,,,,,606419.0,,,ptf,27.0
,,,Les Républicains,,,,,,,,,,,,,
,,,La République en marche,,,,,,,,,,,,,
222800013,Eure-et-Loir,Claude Térouinard,,DEP,CVL-24,https://data.eurelien.fr/explore/?refine.publisher=CD28,29.0,https://www.data.gouv.fr/fr/organizations/58b3e7e588ee3814c598d150,29.0,58b3e7e588ee3814c598d150,CD28,431437.0,,,ptf+datagouv,28
2.22900011E8,Finistère,Nathalie Sarrabezolles,Parti socialiste,DEP,BRE-53,https://opendata.finistere.fr/explore/?refine.publisher=D%C3%A9partement+du+Finist%C3%A8re,45.0,https://www.data.gouv.fr/fr/organizations/5a86b30588ee38553adbaa6e/,46.0,5a86b30588ee38553adbaa6e,Département du Finistère,905238.0,,,ptf+datagouv,29.0
223200015,Gers,Philippe Martin,Parti socialiste,DEP,OCC-76,https://data.gers.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Département+du+Gers,19.0,https://www.data.gouv.fr/fr/organizations/5d2485a58b4c417f5f478a9f/,19.0,56f3b0a6c751df13e653faef,Département du Gers,189326.0,,,ptf+datagouv,32
223300013,Gironde,Jean-Luc Gleyze,,DEP,NAQ-75,https://www.datalocale.fr/dataset?organization=cd33,80.0,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d83/,84.0,534fff67a3a7292c64a77d83,,1620000.0,,,ptf+datagouv,33
223100017,Haute-Garonne,Georges Méric,Parti socialiste,DEP,OCC-76,https://data.haute-garonne.fr/explore/?refine.publisher=Conseil+départemental+de+la+Haute-Garonne,82.0,https://www.data.gouv.fr/fr/organizations/582a045088ee3875cec65bb4,113.0,582a045088ee3875cec65bb4,Conseil départemental de la Haute-Garonne,1390000.0,,,ptf+datagouv,31
220500011,Hautes-Alpes,Jean-Marie Bernard,Les Républicains,DEP,PAC-93,https://trouver.datasud.fr/organization/conseil-departemental-des-hautes-alpes,61.0,https://www.data.gouv.fr/fr/organizations/5a98083188ee387ee20c3cdb/,55.0,5a98083188ee387ee20c3cdb,,141784.0,,,ptf+datagouv,05
226500015,Hautes-Pyrénées,Michel Pélieu,Parti radical de gauche,DEP,OCC-76,https://opendata.ha-py.fr/explore/?refine.publisher=D%C3%A9partement+des+Hautes-Pyr%C3%A9n%C3%A9es,39.0,https://www.data.gouv.fr/fr/organizations/5c3f1ca2634f411d2aef4ddb/,39.0,5c3f1ca2634f411d2aef4ddb,Département des Hautes-Pyrénées,225219.0,,,ptf+datagouv,65
229200506,Hauts-de-Seine,Patrick Devedjian,Union pour un mouvement populaire,DEP,IDF-11,https://opendata.hauts-de-seine.fr/explore/?refine.publisher=D%C3%A9partement+des+Hauts-de-Seine,138.0,https://www.data.gouv.fr/fr/organizations/544e1b0888ee38289ae1ed05,149.0,544e1b0888ee38289ae1ed05,Département des Hauts-de-Seine,1606000.0,,,ptf+datagouv,92
,,,Rassemblement pour la République,,,,,,,,,,,,,
,,,Occident,,,,,,,,,,,,,
,,,Union des démocrates pour la République,,,,,,,,,,,,,
2.23400011E8,Hérault,Kléber Mesquida,Parti socialiste,DEP,OCC-76,https://www.herault-data.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Conseil+D%C3%A9partemental+de+l%27H%C3%A9rault,34.0,,,,Conseil Départemental de l'Hérault,1145000.0,,,ptf,34.0
223500018,Ille-et-Vilaine,Jean-Louis Tourenne,Parti socialiste,DEP,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5d15cbed8b4c411740bae4bc/,25.0,5d15cbed8b4c411740bae4bc,,1076000.0,,,datagouv,35
223600016,Indre,Louis Pinton,Union pour un mouvement populaire,DEP,CVL-24,,,https://www.data.gouv.fr/fr/organizations/5a82f34188ee380c10423e48/,8.0,5a82f34188ee380c10423e48,,217312.0,,,datagouv,36
223700014,Indre-et-Loire,Marisol Touraine,Parti socialiste,DEP,CVL-24,https://data-cd37.opendata.arcgis.com/search,1.0,https://www.data.gouv.fr/fr/organizations/5733002788ee384aabd1b934/,1.0,5733002788ee384aabd1b934,,608387.0,,,ptf,37
223800012,Isère,Jean-Pierre Barbier,Union pour un mouvement populaire,DEP,ARA-84,https://opendata.isere.fr/explore/?sort=modified&refine.publisher=D%C3%A9partement+de+l%27Is%C3%A8re,33.0,https://www.data.gouv.fr/fr/organizations/5bb1c7e4634f412a95dff6b9/,48.0,5bb1c7e4634f412a95dff6b9,Département de l'Isère,1262000.0,,,ptf+datagouv,38
223900010,Jura,Clément Pernot,Union pour la démocratie française,DEP,BFC-27,https://trouver.ternum-bfc.fr/organization/departement-du-jura,2.0,,,,,260188.0,,,ptf,39
224100016,Loir-et-Cher,Nicolas Perruchot,Union pour la démocratie française,DEP,CVL-24,,,https://www.data.gouv.fr/fr/organizations/534fff68a3a7292c64a77d8a,69.0,534fff68a3a7292c64a77d8a,,330727.0,,,datagouv,41
,,,Union pour un mouvement populaire,,,,,,,,,,,,,
224400028,Loire-Atlantique,Philippe Grosvalet,Parti socialiste,DEP,PDL-52,https://data.loire-atlantique.fr/explore/?refine.publisher=Département+de+Loire-Atlantique,260.0,https://www.data.gouv.fr/fr/organizations/534fff6fa3a7292c64a77dc1/,257.0,534fff6fa3a7292c64a77dc1,Département de Loire-Atlantique,1426000.0,,,ptf+datagouv,44
224500017,Loiret,Éric Doligé,Union pour un mouvement populaire,DEP,CVL-24,https://open-loiret.opendata.arcgis.com/datasets?source=Conseil%20d%C3%A9partemental%20du%20Loiret&t=donn%C3%A9es%20ouvertes,41.0,https://www.data.gouv.fr/fr/organizations/57d90ef4c751df44fb79df72,183.0,57d90ef4c751df44fb79df72,,678722.0,,,ptf+datagouv,45
,,,Rassemblement pour la République,,,,,,,,,,,,,
2.24600015E8,Lot,Gérard Miquel,Parti socialiste,DEP,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5ac5c34488ee386e5ad2bb40/,4.0,5ac5c34488ee386e5ad2bb40,,171770.0,,,datagouv,46.0
,,,La République en marche,,,,,,,,,,,,,
224900019,Maine-et-Loire,Christophe Béchu,Union pour un mouvement populaire,DEP,PDL-52,https://data.maine-et-loire.fr/explore/?q=&disjunctive.diffuseur&disjunctive.publisher&source=shared&sort=modified&geonav=world%2Fworld_fr%2Ffr_40_52%2Ffr_60_49&geonav-asc&refine.publisher=D%C3%A9partement+de+Maine-et-Loire,88.0,https://www.data.gouv.fr/fr/organizations/5e32cef58b4c411011bd3bab/,88.0,5e32cef58b4c411011bd3bab,,815325.0,,,ptf+datagouv,49
225005024,Manche,Marc Lefèvre,,DEP,NOR-28,https://www.opendata-manche.fr/web/guest/donnees,50.0,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d87,35.0,534fff67a3a7292c64a77d87,,492627.0,,,ptf+datagouv,50
225300011,Mayenne,Jean Arthuis,Union pour la démocratie française,DEP,PDL-52,,,https://www.data.gouv.fr/fr/organizations/5aeab860c751df3bca98b623/,292.0,5aeab860c751df3bca98b623,,305021.0,,,datagouv,53
,,,La République en marche,,,,,,,,,,,,,
225400019,Meurthe-et-Moselle,Valérie Beausert-Leick,,DEP,GES-44,http://catalogue.infogeo54.fr/geonetwork/srv/fre/catalog.search#/home,16.0,https://www.data.gouv.fr/fr/organizations/5bc74634634f4144ed36741c/,1.0,5bc74634634f4144ed36741c,,731753.0,,,ptf+datagouv,54
225600014,Morbihan,François Goulard,Union pour un mouvement populaire,DEP,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5c924c1c8b4c41159d78d937/,17.0,5c924c1c8b4c41159d78d937,,751309.0,,,datagouv,56
,,,Démocratie libérale,,,,,,,,,,,,,
,,,Objectif France,,,,,,,,,,,,,
225700012,Moselle,Philippe Leroy,Union pour un mouvement populaire,DEP,GES-44,http://www.moselleopendata.fr/datas,20.0,,,,,1036000.0,,,ptf,57
225800010,Nièvre,,,DEP,BFC-27,https://www.databfc.fr/bfc/portail,38.0,https://www.data.gouv.fr/fr/organizations/59367c42c751df5751fcc925,2.0,59367c42c751df5751fcc925,,201518.0,,,ptf+datagouv,58
225900018,Nord,Jean-René Lecerf,Union pour un mouvement populaire,DEP,HDF-32,https://geonord-lenord.opendata.arcgis.com,7.0,,,,,2604000.0,,,ptf,59
,,,Rassemblement pour la République,,,,,,,,,,,,,
226000016,Oise,Édouard Courtial,Union pour un mouvement populaire,DEP,HDF-32,http://opendata.oise.fr/donnees/,125.0,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d7d,54.0,534fff67a3a7292c64a77d7d,,825207.0,,,ptf+datagouv,60
,,,Union pour la démocratie française,,,,,,,,,,,,,
200012979,PROVINCE DES ILES LOYAUTE - NOUVELLE CALEDONIE,,,DEP,NC,https://data.gouv.nc/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.attributions&disjunctive.license&sort=explore.popularity_score&refine.publisher=Province+des+Iles+Loyauté,3.0,,,,,18353.0,,,ptf,988
200012656,PROVINCE NORD - NOUVELLE CALEDONIE,,,DEP,NC,https://data.gouv.nc/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.attributions&disjunctive.license&sort=explore.popularity_score&refine.publisher=Province+Nord,6.0,,,,,49910.0,,,ptf,988
2.0001249E8,PROVINCE SUD - NOUVELLE CALEDONIE,,,DEP,NC,https://data.gouv.nc/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.attributions&disjunctive.license&sort=explore.popularity_score&refine.publisher=Province+Sud,13.0,,,,,203144.0,,,ptf,988.0
226300010,Puy-de-Dôme,Jean-Yves Gouttebel,Parti socialiste,DEP,ARA-84,http://www.puy-de-dome.fr/opendata.html,24.0,,,,,656643.0,,,ptf,63
226400018,Pyrénées-Atlantiques,Jean-Jacques Lasserre,Union pour la démocratie française,DEP,NAQ-75,https://data.le64.fr/explore/?refine.publisher=D%C3%A9partement+des+Pyr%C3%A9n%C3%A9es-Atlantiques,76.0,,,,Département des Pyrénées-Atlantiques,679354.0,,,ptf,64
2.26600013E8,Pyrénées-Orientales,Hermeline Malherbe,Parti socialiste,DEP,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5ab9f242c751df2f936031d6,12.0,5ab9f242c751df2f936031d6,,481691.0,,,datagouv,66.0
227100013,Saône-et-Loire,André Accary,,DEP,BFC-27,https://trouver.ternum-bfc.fr/organization/departement-de-saone-et-loire,14.0,https://www.data.gouv.fr/fr/organizations/534fff68a3a7292c64a77d8d,63.0,534fff68a3a7292c64a77d8d,,549763.0,,,ptf+datagouv,71
227200029,Sarthe,Roland du Luart,Union pour un mouvement populaire,DEP,PDL-52,https://data.sarthe.fr/explore/?refine.publisher=Conseil+D%C3%A9partemental+de+la+Sarthe,1.0,,,,Conseil Départemental de la Sarthe,561583.0,,,ptf,72
227300019,Savoie,Hervé Gaymard,Union pour un mouvement populaire,DEP,ARA-84,,,https://www.data.gouv.fr/fr/organizations/59f843bcc751df5a1b4776b6,5.0,59f843bcc751df5a1b4776b6,,432716.0,,,datagouv,73
,,,Rassemblement pour la République,,,,,,,,,,,,,
,,,Union des démocrates pour la République,,,,,,,,,,,,,
227700010,Seine-et-Marne,Patrick Septiers,Union des démocrates et indépendants,DEP,IDF-11,,,https://www.data.gouv.fr/fr/organizations/5c13da1f8b4c41461f8a544c/,1.0,5c13da1f8b4c41461f8a544c,,1422000.0,,,datagouv,77
227605409,Seine-Maritime,Bertrand Bellanger,,DEP,NOR-28,https://www.opendata76.fr,131.0,,,,,1249000.0,,,ptf,76
229300082,Seine-Saint-Denis,Claude Bartolone,Parti socialiste,DEP,IDF-11,http://data.seine-saint-denis.fr/spip.php?page=data2_rubrique,356.0,https://www.data.gouv.fr/fr/organizations/5457bc26c751df7378225d2e,173.0,5457bc26c751df7378225d2e,,1659000.0,,,ptf+datagouv,93
228000014,Somme,Daniel Dubois,Union pour la démocratie française,DEP,HDF-32,,,https://www.data.gouv.fr/fr/organizations/5919a313c751df1c22411168,1.0,5919a313c751df1c22411168,,569662.0,,,datagouv,80
228300018,Var,Marc Giraud,Les Républicains,DEP,PAC-93,https://trouver.datasud.fr/organization/conseil-departemental-du-var,9.0,,,,,1076000.0,,,ptf,83
228400016,Vaucluse,Claude Haut,Parti socialiste,DEP,PAC-93,https://trouver.datasud.fr/organization/conseil-departemental-de-vaucluse,21.0,,,,,563751.0,,,ptf,84
,,,La République en marche,,,,,,,,,,,,,
228600011,Vienne,Alain Pichon,,DEP,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/59bfe09988ee3809d96507cb/,1.0,59bfe09988ee3809d96507cb,,437368.0,,,datagouv,86
228900015,Yonne,Jean-Marie Rolland,Union pour un mouvement populaire,DEP,BFC-27,https://trouver.ternum-bfc.fr/organization/conseil-departemental-de-lyonne,0.0,,,,,338291.0,,,ptf,89
